Best Motion Picture - Drama,(Best\sPicture.*Drama) | (Best\sMotion\sPicture.*Drama)
Best Motion Picture - Musical or Comedy,(Best\sPicture.*Musical) | (Best\sMotion\sPicture.*Comedy)
Best Performance by an Actress in a Motion Picture - Drama,(Best.*Actress.*Drama)
Best Performance by an Actor in a Motion Picture - Drama,(Best.*Actor.*Drama)
Best Performance by an Actress in a Motion Picture - Musical or Comedy,(Best.*Performance.*Actress.*Picture.*Musical) | (Best.*Performance.*Actress.*Picture.*Comedy)
Best Performance by an Actor in a Motion Picture - Musical or Comedy,(Best.*Performance.*Actor.*Picture.*Musical) | (Best.*Performance.*Actor.*Picture.*Comedy)
Best Performance by an Actress in a Supporting Role in any Motion Picture,(Best.*Supporting.*Actress)
Best Performance by an Actor in a Supporting Role in any Motion Picture,(Best.*Supporting.*Actor)
Best Director - Motion Picture,(Best.*Director)
Best Screenplay - Motion Picture,(Best.*Screenplay)
Best Motion Picture - Animated,(Best.*Animated)
Best Motion Picture - Foreign Language,(Best.*Foreign)
Best Original Score - Motion Picture,(Best.*Original.*Score)
Best Original Song - Motion Picture,(Best.*Original.*Song)
Best Television Series - Drama,(Best.*Series.*Drama)
Best Television Series - Musical or Comedy,(Best.*Series.*Musical Comedy)
Best Television Limited Series or Motion Picture Made for Television,(Best.*Television.*Limited.*Series.*Television) | (Best.*TV.*Limited.*Series.*TV)
Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,(Best.*Actress.*Limited.*Series.*Television) | (Best.*Actress.*Limited.*Series.*TV)
Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,(Best.*Actor.*Limited.*Series.*Television) | (Best.*Actor.*Limited.*Series.*TV)
Best Performance by an Actress in a Television Series - Drama,(Best.*Actress.*Series.*Drama)
Best Performance by an Actor in a Television Series - Drama,(Best.*Actor.*Series.*Drama)
Best Performance by an Actress in a Television Series - Musical or Comedy,(Best.*Actress.*Series.*Musical) | (Best.*Actress.*Series.*Comedy)
Best Performance by an Actor in a Television Series - Musical or Comedy,(Best.*Actor.*Series.*Musical) | (Best.*Actor.*Series.*Comedy)
Best Performance by an Actress in a Supporting Role in a Series Limited Series or Motion Picture Made for Television,(Best.*Supporting.*Actress.*Series.*Television) | (Best.*Supporting.*Actress.*Series.*TV) | (Best.*Supporting.*Actress.*TV) | (Best.*Supporting.*Actress.*Series.*Television) | (Best.*Supporting.*Actress.*Series)
Best Performance by an Actor in a Supporting Role in a Series Limited Series or Motion Picture Made for Television,(Best.*Supporting.*Actor.*Series.*Television) | (Best.*Supporting.*Actor.*Series.*TV) | (Best.*Supporting.*Actor.*TV) | (Best.*Supporting.*Actor.*Series.*Television) | (Best.*Supporting.*Actor.*Series) | (Best.*Actor.*Supporting.*Series)
Cecil B. Demille Award, (Cecil.*Demille)
